timestamp,symbol,open,high,low,close,volume,trade_count,vwap,profit_loss,cumulative_profit
2025-06-23 04:00:00+00:00,SPY,595.04,600.54,591.89,600.15,87426039.0,920372.0,597.020982,-6.0,-6.0
2025-06-24 04:00:00+00:00,SPY,604.33,607.8499,603.41,606.78,67735293.0,682502.0,606.174705,-6.0,-12.0
2025-06-25 04:00:00+00:00,SPY,607.91,608.61,605.54,607.12,62114767.0,645731.0,607.146716,-2.2200000000107134,-14.220000000010714
2025-06-26 04:00:00+00:00,SPY,608.99,612.31,608.37,611.87,78548361.0,630338.0,610.895254,-6.0,-20.220000000010714
2025-06-27 04:00:00+00:00,SPY,612.88,616.39,610.83,614.91,86258398.0,806398.0,613.935765,-6.0,-26.220000000010714
2025-06-30 04:00:00+00:00,SPY,617.38,619.22,615.04,617.85,92502541.0,858415.0,617.093294,-6.0,-32.220000000010714
2025-07-01 04:00:00+00:00,SPY,616.36,618.83,615.52,617.65,70030140.0,746886.0,617.439436,-6.0,-38.220000000010714
2025-07-02 04:00:00+00:00,SPY,617.24,620.49,616.61,620.45,66510374.0,679099.0,619.130181,-6.0,-44.220000000010714
2025-07-03 04:00:00+00:00,SPY,622.45,626.28,622.43,625.34,51065578.0,484817.0,625.106471,-6.0,-50.220000000010714
2025-07-07 04:00:00+00:00,SPY,623.36,624.03,617.87,620.68,74814505.0,863317.0,620.762641,-6.0,-56.220000000010714
2025-07-08 04:00:00+00:00,SPY,621.35,622.11,619.52,620.34,59024585.0,675760.0,620.675955,-6.0,-62.220000000010714
2025-07-09 04:00:00+00:00,SPY,622.77,624.72,620.9105,624.06,66113326.0,735000.0,622.946884,-6.0,-68.22000000001071
2025-07-10 04:00:00+00:00,SPY,624.2,626.8701,623.01,625.82,57527933.0,648814.0,625.358699,-6.0,-74.22000000001071
2025-07-11 04:00:00+00:00,SPY,622.74,624.86,621.53,623.62,63670226.0,748955.0,623.809901,-6.0,-80.22000000001071
2025-07-14 04:00:00+00:00,SPY,623.16,625.1581,621.7999,624.81,51898518.0,626509.0,623.953909,-6.0,-86.22000000001071
2025-07-15 04:00:00+00:00,SPY,627.52,627.86,622.06,622.14,74317260.0,828422.0,624.382657,-6.0,-92.22000000001071
2025-07-16 04:00:00+00:00,SPY,623.74,624.73,618.05,624.22,88964127.0,961751.0,622.089769,-6.0,-98.22000000001071
2025-07-17 04:00:00+00:00,SPY,624.4,628.4048,624.18,628.04,68885558.0,687864.0,627.009476,-6.0,-104.22000000001071
2025-07-18 04:00:00+00:00,SPY,629.3,629.47,626.46,627.58,65621496.0,594577.0,627.596472,-6.0,-110.22000000001071
2025-07-21 04:00:00+00:00,SPY,628.77,631.54,628.34,628.77,63374984.0,709907.0,630.17477,-6.0,-116.22000000001071
